DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/15/2018,11:26,BRONX,10467,40.881577,-73.859116,"(40.881577, -73.859116)",,,839       EAST 218 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021476,Station Wagon/Sport Utility Vehicle,Bus,,,
11/15/2018,11:37,BROOKLYN,11220,40.647064,-74.02263,"(40.647064, -74.02263)",56 STREET                       ,1 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4021467,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,11:40,BRONX,10455,40.814823,-73.90953,"(40.814823, -73.90953)",PONTIAC PLACE                   ,TRINITY AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4021292,Box Truck,Sedan,,,
11/15/2018,11:40,MANHATTAN,10025,40.802345,-73.96812,"(40.802345, -73.96812)",WEST END AVENUE                 ,WEST 107 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021849,Sedan,Taxi,,,
11/15/2018,11:42,,,,,,LAUREL HILL BOULEVARD           ,61 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4021444,Sedan,Sedan,,,
11/15/2018,11:45,,,,,,224 STREET                      ,BRADDOCK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4021412,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
11/15/2018,11:50,BRONX,10470,40.89978,-73.8676,"(40.89978, -73.8676)",,,4330      KATONAH AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4021475,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,11:50,,,40.8047,-73.91243,"(40.8047, -73.91243)",EAST 138 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021862,Box Truck,Sedan,,,
11/15/2018,12:00,BROOKLYN,11221,40.69595,-73.91739,"(40.69595, -73.91739)",,,330       WILSON AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4021845,Sedan,,,,
11/15/2018,12:00,,,40.77022,-73.83055,"(40.77022, -73.83055)",138 STREET                      ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4021601,Sedan,Sedan,,,
11/15/2018,12:00,,,40.741074,-73.7258,"(40.741074, -73.7258)",CROSS ISLAND PARKWAY            ,UNION TURNPIKE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4021413,Sedan,Sedan,,,
11/15/2018,12:15,,,40.75928,-73.959274,"(40.75928, -73.959274)",YORK AVENUE                     ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4021842,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,12:15,BROOKLYN,11206,40.711643,-73.94392,"(40.711643, -73.94392)",GRAHAM AVENUE                   ,GRAND STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4021780,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,12:20,BRONX,10455,40.81536,-73.915955,"(40.81536, -73.915955)",,,459       EAST 149 STREET               ,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,4021875,Sedan,Tanker,,,
11/15/2018,12:20,BROOKLYN,11221,40.692356,-73.911064,"(40.692356, -73.911064)",HANCOCK STREET                  ,WILSON AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4021887,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,12:20,MANHATTAN,10022,40.755756,-73.96479,"(40.755756, -73.96479)",EAST 53 STREET                  ,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4021680,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,12:25,BRONX,10460,40.845863,-73.88001,"(40.845863, -73.88001)",,,932       BRONX PARK SOUTH              ,0,0,0,0,0,0,0,0,Other Vehicular,Reaction to Uninvolved Vehicle,,,,4021401,Bus,Sedan,,,
11/15/2018,12:26,,,40.689274,-73.99913,"(40.689274, -73.99913)",HICKS STREET                    ,CONGRESS STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4021730,Sedan,Sedan,,,
11/15/2018,12:28,,,40.773335,-73.95506,"(40.773335, -73.95506)",2 AVENUE                        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021839,Station Wagon/Sport Utility Vehicle,Sedan,,,
